name	definition	wikidata	cf_name	hydro
nacrite	Nacrite Al2Si2O5(OH)4 is a clay mineral that is polymorphous (or polytypic) with kaolinite. It crystallizes in the monoclinic system. X-ray diffraction analysis is required for positive identification. Nacrite was first described in 1807 for an occurrence in Saxony, Germany. The name is from nacre in reference to the mother of pearl luster of nacrite masses.			
naphthalene	Naphthalene (C10H8)			
ndvi	Normalized difference vegetation index			
neodymium	Neodymium is a chemical element with symbol Nd and atomic number 60. It is a soft silvery metal that tarnishes in air. Neodymium was discovered in 1885 by the Austrian chemist Carl Auer von Welsbach.			
neodymium_dissolved	Dissolved Neodymium (Nd). "Dissolved " indicates a the measurement was made on a filtered sample.			
net_heat_flux	Outgoing rate of heat energy transfer minus the incoming rate of heat energy transfer through a given area			
neutron_count	Neutron counts of the naturally occurring cosmic rays.			
nickel	Nickel is a chemical element with symbol Ni and atomic number 28. It is a silvery-white lustrous metal with a slight golden tinge. Nickel belongs to the transition metals and is hard and ductile. Pure nickel, powdered to maximize the reactive surface area, shows a significant chemical activity, but larger pieces are slow to react with air under standard conditions because an oxide layer forms on the surface and prevents further corrosion (passivation). Even so, pure native nickel is found in Earth's crust only in tiny amounts, usually in ultramafic rocks, and in the interiors of larger nickel–iron meteorites that were not exposed to oxygen when outside Earth's atmosphere. 			
nickel_dissolved	Dissolved Nickel (Ni)			
nickel_distribution_coefficient	Ratio of concentrations of nickel in two phases in equilibrium with each other. Phases must be specified.			
nickel_particulate	Particulate nickel (Ni) in suspension			
nickel_total	Total Nickel (Ni). "Total" indicates was measured on a whole water (unfiltered) sample.			
niobium_dissolved	Niobium, formerly known as columbium, is a chemical element with symbol Nb (formerly Cb) and atomic number 41. It is a soft, grey, crystalline, ductile transition metal, often found in the minerals pyrochlore and columbite, hence the former name "columbium". Its name comes from Greek mythology, specifically Niobe, who was the daughter of Tantalus, the namesake of tantalum			
niobium_total	Niobium, formerly known as columbium, is a chemical element with symbol Nb (formerly Cb) and atomic number 41. It is a soft, grey, crystalline, ductile transition metal, often found in the minerals pyrochlore and columbite, hence the former name "columbium". Its name comes from Greek mythology, specifically Niobe, who was the daughter of Tantalus, the namesake of tantalum			
nitrobenzene	Nitrobenzene (C6H5NO2)			
nitrogen	Nitrogen is a chemical element with symbol N and atomic number 7. It was first discovered and isolated by Scottish physician Daniel Rutherford in 1772. Although Carl Wilhelm Scheele and Henry Cavendish had independently done so at about the same time, Rutherford is generally accorded the credit because his work was published first. The name nitrogène was suggested by French chemist Jean-Antoine-Claude Chaptal in 1790, when it was found that nitrogen was present in nitric acid and nitrates. Antoine Lavoisier suggested instead the name azote, from the Greek άζωτικός "no life", as it is an asphyxiant gas; this name is instead used in many languages, such as French, Russian, and Turkish, and appears in the English names of some nitrogen compounds such as hydrazine, azides and azo compounds. 			
nitrogen_dissolved_(free+ionized)_ammonia_(nh3)_+_(nh4)	Dissolved (free+ionized) Ammonia			
nitrogen_dissolved_inorganic	Dissolved inorganic nitrogen			
nitrogen_dissolved_kjeldahl	Dissolved Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4))nitrogen			
nitrogen_dissolved_nitrate_(no3)	Dissolved nitrate (NO3) nitrogen			
nitrogen_dissolved_nitrite_(no2)	Dissolved nitrite (NO2) nitrogen			
nitrogen_dissolved_nitrite_(no2)_+_nitrate_(no3)	Dissolved nitrite (NO2) + nitrate (NO3) nitrogen			
nitrogen_dissolved_organic	Dissolved Organic Nitrogen			
nitrogen_gas	Gaseous Nitrogen (N2)			
nitrogen_inorganic	Total Inorganic Nitrogen			
nitrogen_nh3	Free Ammonia (NH3)			
nitrogen_nh3_+_nh4	Total (free+ionized) Ammonia			
nitrogen_nh4	Ammonium (NH4)			
nitrogen_nitrate_(no3)	Nitrate (NO3) Nitrogen			
nitrogen_nitrite_(no2)	Nitrite (NO2) Nitrogen			
nitrogen_nitrite_(no2)_+_nitrate_(no3)	Nitrite (NO2) + Nitrate (NO3) Nitrogen			
nitrogen_organic	Organic Nitrogen			
nitrogen_organic_kjeldahl	Organic Kjeldahl (organic nitrogen + ammonia (NH3) + ammonium (NH4)) nitrogen			
nitrogen_particulate_organic	Particulate Organic Nitrogen			
nitrogen_total	Total Nitrogen (NO3+NO2+NH4+NH3+Organic)			
nitrogen_total_dissolved	Total dissolved nitrogen			
nitrogen_total_kjeldahl	Total Kjeldahl Nitrogen (Ammonia+Organic)			
nitrogen_total_nitrite	Total nitrite (NO2)			
nitrogen_total_organic	Total (dissolved + particulate) organic nitrogen			
nitrogen-15	15 Nitrogen, Delta Nitrogen			
nitrogen-15_stable_isotope_ratio_delta	Difference in the 15N:14N ratio between the sample and standard (del N 15)			
nitrous_oxide	Nitrous oxide (N2O)			
no_vegetation_coverage	Areal coverage of no vegetation			
o-xylene	o-Xylene (C8H10)			
odor	Odor			
offset	Constant to be added as an offset to a variable of interest.			
oil_and_grease	Oil and grease			
organic_matter	The organic matter component of a complex material.			
orientation	Azimuth orientation of sensor platform			
orthoclase	Orthoclase, or orthoclase feldspar (endmember formula KAlSi3O8), is an important tectosilicate mineral which forms igneous rock. The name is from the Ancient Greek for "straight fracture," because its two cleavage planes are at right angles to each other. It is a type of potassium feldspar, also known as K-feldspar. The gem known as moonstone (see below) is largely composed of orthoclase.			
osmotic_pressure	Osmotic pressure			
oxygen	Oxygen			
oxygen_flux	Oxygen (O2) flux			
oxygen_uptake	Consumption of oxygen by biological and/or chemical processes			
oxygen_dissolved	Dissolved oxygen			
oxygen_dissolved_percent_of_saturation	Dissolved oxygen, percent saturation			
oxygen_dissolved_transducer_signal	Dissolved oxygen, raw data from sensor			
oxygen-18	18 O, Delta O			
oxygen-18_stable_isotope_ratio_delta	Difference in the 18O:16O ratio between the sample and standard			
ozone	Ozone (O3)			
parameter	Parameter related to a hydrologic process. An example usage would be for a starge-discharge relation parameter.			
parathion-ethyl	Parathion-ethyl (C10H14NO5PS)			
particle_counts	Count of insoluble particles in a liquid like rainwater			
pentachlorobenzene	Pentachlorobenzene (C6HCl5)			
pentachlorophenol	Pentachlorophenol (C6HCl5O)			
pentane	Pentane			
percent_full_scale	The percent of full scale for an instrument			
peridinin	The phytoplankton pigment Peridinin			
permethrin	Permethrin (C21H20Cl2O3)			
permittivity	Permittivity is a physical quantity that describes how an electric field affects, and is affected by a dielectric medium, and is determined by the ability of a material to polarize in response to the field, and thereby reduce the total electric field inside the material. Thus, permittivity relates to a material's ability to transmit (or "permit") an electric field.			
permittivity_electrical	In electromagnetism, absolute permittivity, often simply called permittivity, usually denoted by the Greek letter ε (epsilon), is the measure of capacitance that is encountered when forming an electric field in a particular medium. More specifically, permittivity describes the amount of charge needed to generate one unit of electric flux in a particular medium. Accordingly, a charge will yield more electric flux in a medium with low permittivity than in a medium with high permittivity. Permittivity is the measure of a material's ability to store an electric field in the polarization of the medium. 			
perylene	Perylene (C20H12), a polycyclic aromatic hydrocarbon (PAH)			
petroleum_hydrocarbon_total	Total petroleum hydrocarbon			
ph	pH is the measure of the acidity or alkalinity of a solution. pH is formally a measure of the activity of dissolved hydrogen ions (H+). Solutions in which the concentration of H+ exceeds that of OH- have a pH value lower than 7.0 and are known as acids.			
phenanthrene	Phenanthrene (C14H10), a polycyclic aromatic hydrocarbon (PAH)			
phenol	Phenol (C6H5OH)			
phenolics_total	Total Phenolics			
pheophytin	Pheophytin (Chlorophyll which has lost the central Mg ion) is a degradation product of Chlorophyll			
pheophytin	Pheophytin or phaeophytin (abbreviated Pheo) is a chemical compound that serves as the first electron carrier intermediate in the electron transfer pathway of Photosystem II (PS II) in plants, and the photosynthetic reaction center (RC P870) found in purple bacteria. In both PS II and RC P870, light drives electrons from the reaction center through pheophytin, which then passes the electrons to a quinone (QA) in RC P870 and RC P680.			
phorate	Phorate (C7H17O2PS3)			
phosphorodithioic_acid	Phosphorodithioic acid (C10N12N3O3PS2)			
phosphorus	Phosphorus is a chemical element with symbol P and atomic number 15. Elemental phosphorus exists in two major forms, white phosphorus and red phosphorus, but because it is highly reactive, phosphorus is never found as a free element on Earth. It has a concentration in the Earth's crust of about one gram per kilogram (compare copper at about 0.06 grams). With few exceptions, minerals containing phosphorus are in the maximally oxidized state as inorganic phosphate rocks.			
phosphorus_pentoxide	Phosphorus pentoxide is a chemical compound with molecular formula P4O10 (with its common name derived from its empirical formula, P2O5). This white crystalline solid is the anhydride of phosphoric acid.			
phosphorus_dissolved	Dissolved Phosphorus (P)			
phosphorus_dissolved_organic	Dissolved organic phosphorus			
phosphorus_inorganic	Inorganic Phosphorus			
phosphorus_organic	Organic Phosphorus			
phosphorus_orthophosphate	Orthophosphate Phosphorus			
phosphorus_orthophosphate_dissolved	Dissolved orthophosphate phosphorus			
phosphorus_orthophosphate_total	Total orthophosphate phosphorus			
phosphorus_particulate	Particulate phosphorus			
phosphorus_particulate_organic	Particulate organic phosphorus in suspension			
phosphorus_phosphate_(po4)	Phosphate phosphorus			
phosphorus_phosphate_flux	Phosphate (PO4) flux			
phosphorus_polyphosphate	Polyphosphate Phosphorus			
phosphorus_total	Total Phosphorus			
phosphorus_total_dissolved	Total dissolved phosphorus			
photosynthetic_photon_flux_density_(ppfd)	The number of photons per unit time and per unit area in the wavelength band 400 to 700 nm			
phytoplankton	Measurement of phytoplankton with no differentiation between species			
piperonyl_butoxide	Piperonyl Butoxide (C19H30O5)			
plagioclase	Plagioclase is a series of tectosilicate (framework silicate) minerals within the feldspar group. Rather than referring to a particular mineral with a specific chemical composition, plagioclase is a continuous solid solution series, more properly known as the plagioclase feldspar series (from the Ancient Greek for "oblique fracture", in reference to its two cleavage angles)			
polycyclic_aromatic_hydrocarbon_alkyl	Polycyclic aromatic hydrocarbon (PAH) having at least one alkyl sidechain (methyl, ethyl or other alkyl group) attached to the aromatic ring structure			
polycyclic_aromatic_hydrocarbon_parent	Unsubstituted (i.e., non-alkylated) polycyclic aromatic hydrocarbon (PAH)			
polycyclic_aromatic_hydrocarbon_total	total polycyclic aromatic hydrocarbon (PAH), also known as poly-aromatic hydrocarbons or polynuclear aromatic hydrocarbons			
porosity	Porosity or void fraction is a measure of the void (i.e. "empty") spaces in a material, and is a fraction of the volume of voids over the total volume, between 0 and 1, or as a percentage between 0 and 100%.			
position	Position of an element that interacts with water such as reservoir gates			
potassium	Potassium is a chemical element with symbol K and atomic number 19. It was first isolated from potash, the ashes of plants, from which its name derives. In the periodic table, potassium is one of the alkali metals. All of the alkali metals have a single valence electron in the outer electron shell, which is easily removed to create an ion with a positive charge – a cation, which combines with anions to form salts. Potassium in nature occurs only in ionic salts. Elemental potassium is a soft silvery-white alkali metal that oxidizes rapidly in air and reacts vigorously with water, generating sufficient heat to ignite hydrogen emitted in the reaction, and burning with a lilac-colored flame. It is found dissolved in sea water (which is 0.04% potassium by weight), and is part of many minerals. 			
potassium_oxide	Potassium oxide (K2O), or Kalium oxide, is an ionic compound of potassium and oxygen.			
potassium_dissolved	Dissolved Potassium (K)			
potassium_total	Total Potassium (K)			
praseodymium	Praseodymium is a chemical element with symbol Pr and atomic number 59. It is the third member of the lanthanide series and is traditionally considered to be one of the rare-earth metals. Praseodymium is a soft, silvery, malleable and ductile metal, valued for its magnetic, electrical, chemical, and optical properties.			
praseodymium_dissolved	Dissolved Praseodymium (Pr). "Dissolved " indicates a the measurement was made on a filtered sample.			
precipitation	Precipitation such as rainfall. Should not be confused with settling.			
pressure_absolute	Pressure			
pressure_gauge	Pressure relative to the local atmospheric or ambient pressure			
primary_productivity	Primary Productivity			
primary_productivity_gross	Rate at which an ecosystem accumulates energy by fixation of sunlight, including that consumed by the ecosystem.			
program_signature	A unique data recorder program identifier which is useful for knowing when the source code in the data recorder has been modified.			
pronamide	Pronamide (C12H11Cl2NO)			
propane	Propane			
propane_dissolved	Dissolved Propane (C3H8)			
propanoic_acid	Propanoic acid (C3H6O2)			
propylene_glycol	Propylene glycol (C3H8O2)			
pyrene	Pyrene (C16H10), a polycyclic aromatic hydrocarbon (PAH)			
pyridine	Pyridine (C5H5N)			
quartz	Quartz is a type of silicate mineral composed of silicon and oxygen atoms.			
radiation_incoming	Incoming radiation			
radiation_incoming_longwave	Incoming Longwave Radiation			
radiation_incoming_par	Incoming Photosynthetically-Active Radiation			
radiation_incoming_shortwave	Incoming Shortwave Radiation			
radiation_incoming_uv-a	Incoming Ultraviolet A Radiation			
radiation_incoming_uv-b	Incoming Ultraviolet B Radiation			
radiation_net	Net Radiation			
radiation_net_longwave	Net Longwave Radiation			
radiation_net_par	Net Photosynthetically-Active Radiation			
radiation_net_shortwave	Net Shortwave radiation			
radiation_outgoing_longwave	Outgoing Longwave Radiation			
radiation_outgoing_par	Outgoing Photosynthetically-Active Radiation			
radiation_outgoing_shortwave	Outgoing Shortwave Radiation			
radiation_total_incoming	Total amount of incoming radiation from all frequencies			
radiation_total_outgoing	Total amount of outgoing radiation from all frequencies			
radiation_total_shortwave	Total Shortwave Radiation			
radium-226	An isotope of radium in the uranium-238 decay series			
radium-228	An isotope of radium in the thorium-232 decay series			
radon-222	An isotope of radon			
rainfall_rate	A measure of the intensity of rainfall, calculated as the depth of water to fall over a given time period if the intensity were to remain constant over that time interval (in/hr, mm/hr, etc)			
real_dielectric_constant	Soil reponse of a reflected standing electromagnetic wave of a particular frequency which is related to the stored energy within the medium. This is the real portion of the complex dielectric constant.			
received_signal_strength_indication	In telecommunications, received signal strength indicator (RSSI) is a measurement of the power present in a received radio signal.			
recharge_groundwater	Groundwater recharge or deep drainage or deep percolation is a hydrologic process where water moves downward from surface water to groundwater. Recharge is the primary method through which water enters an aquifer. This process usually occurs in the vadose zone below plant roots and is often expressed as a flux to the water table surface. Recharge occurs both naturally (through the water cycle) and through anthropogenic processes (i.e., "artificial groundwater recharge"), where rainwater and or reclaimed water is routed to the subsurface.			
recorder_code	A code used to identifier a data recorder.			
reduction_potential	Oxidation-reduction potential			
reflectivity	dBZ stands for decibel relative to Z. It is a logarithmic dimensionless technical unit used in radar, mostly in weather radar, to compare the equivalent reflectivity factor (Z) of a radar signal reflected off a remote object (in mm6 per m3) to the return of a droplet of rain with a diameter of 1 mm (1 mm6 per m3). It is proportional to the number of drops per unit volume and the sixth power of drops' diameter and is thus used to estimate the rain or snow intensity.			
relative_humidity	Relative humidity			
remark	Manually added comment field to provide additional information about a particular record.			
reservoir_storage	Reservoir water volume			
resistivity_electrical	The electrical resistance of an object is a measure of its opposition to the flow of electric current. The inverse quantity is electrical conductance, and is the ease with which an electric current passes.			
respiration_ecosystem	Gross carbon dioxide production by all organisms in an ecosystem. Ecosystem respiration is the sum of all respiration occurring by the living organisms in a specific ecosystem.			
respiration_net	Net respiration			
retene	Retene (C18H18), a polycyclic aromatic hydrocarbon (PAH), also known as methyl isopropyl phenanthrene or 1-methyl-7-isopropyl phenanthrene			
rhenium_total	Total Rhenium (Re)			
roundness	Roundness is the measure of how closely the shape of an object approaches that of a mathematically perfect circle. Roundness applies in two dimensions, such as the cross sectional circles along a cylindrical object such as a shaft or a cylindrical roller for a bearing. In geometric dimensioning and tolerancing, control of a cylinder can also include its fidelity to the longitudinal axis, yielding cylindricity. The analogue of roundness in three dimensions (that is, for spheres) is sphericity.			
rubidium	A chemical element with symbol Rb and atomic number 37. Rubidium is a soft, silvery-white metallic element of the alkali metal group, with a standard atomic weight of 85.4678. Elemental rubidium is highly reactive, with properties similar to those of other alkali metals, including rapid oxidation in air. On Earth, natural rubidium comprises two isotopes: 72% is the stable isotope, 85Rb; 28% is the slightly radioactive 87Rb, with a half-life of 49 billion years—more than three times longer than the estimated age of the universe.			
ruthenium-106	The most stable isotope of ruthenium with a half life of 373.59 days.			
salicornia_bigelovii_coverage	Areal coverage of the plant Salicornia bigelovii			
salicornia_virginica_coverage	Areal coverage of the plant Salicornia virginica			
salinity	Salinity			
samarium	A chemical element with symbol Sm and atomic number 62. It is a moderately hard silvery metal that slowly oxidizes in air. Being a typical member of the lanthanide series, samarium usually assumes the oxidation state +3.			
samarium_dissolved	Dissolved Samarium (Sm). "Dissolved " indicates a the measurement was made on a filtered sample.			
sand	USDA particle size distribution category. 0.5 to 2 mm diameter fine earth particles.			
sap_flow	Movement of xylem sap in trees.			
scandium	A chemical element with symbol Sc and atomic number 21. A silvery-white metallic d-block element, it has historically been classified as a rare-earth element, together with yttrium and the lanthanides. It was discovered in 1879 by spectral analysis of the minerals euxenite and gadolinite from Scandinavia.			
scatter_anti-stokes	The material loses energy and the emitted photon has a higher energy than the absorbed photon. This outcome is labeled anti-Stokes Raman scattering.			
scatter_stokes	The material absorbs energy and the emitted photon has a lower energy than the incident photon. This outcome is labeled Stokes Raman scattering in honor of George Stokes who showed in 1852 that fluorescence is due to light emission at longer wavelength (now known to correspond to lower energy) than the absorbed incident light.			
secchi_depth	Secchi depth			
sediment_passing_sieve	The amount of sediment passing a sieve in a gradation test			
sediment_retained_on_sieve	The amount of sediment retained on a sieve in a gradation test			
sediment_suspended	Suspended Sediment			
seismic_refraction	Seismic refraction is a geophysical principle (see refraction) governed by Snell's Law. Used in the fields of engineering geology, geotechnical engineering and exploration geophysics, seismic refraction traverses (seismic lines) are performed using a seismograph(s) and/or geophone(s), in an array and an energy source.			
selenium_dissolved	Dissolved selenium (Se). For chemical terms, dissolved indicates a filtered sample.			
selenium_distribution_coefficient	Ratio of concentrations of selenium in two phases in equilibrium with each other. Phases must be specified.			
selenium_particulate	Particulate selenium (Se) in suspension			
selenium_total	Total Selenium (Se). For chemical terms, total indicates an unfiltered sample			
sensible_heat_flux	Sensible Heat Flux			
sequence_number	A counter of events in a sequence			
shannon_diversity_index	A diversity index that is based on the number of taxa, and the proportion of individuals in each taxa relative to the entire community, evaluated as entropy. Also known as Shannon-Weaver diversity index, the Shannon-Wiener index, the Shannon index and the Shannon entropy.			
shannon_evenness_index	A dimensionless diversity index, calculated as a ratio of the Shannon diversity index over its maximum. Also known as the Shannon Weaver evenness index			
sigma-t	Density of seawater calculated with in situ salinity and temperature, but pressure equal to zero, rather than the in situ pressure, and 1000 kg/m^3 is subtracted. Defined as (S,T)-1000 kg m-3, where (S,T) is the density of a sample of seawater at temperature T and salinity S, measured in kg m-3, at standard atmospheric pressure.			
signal_quality	Internal signature measurent quality			
signal-to-noise_ratio	Signal-to-noise ratio (often abbreviated SNR or S/N) is defined as the ratio of a signal power to the noise power corrupting the signal. The higher the ratio, the less obtrusive the background noise is.			
silica	Silica (SiO2)			
silica_dissolved	Dissolved silica (SiO2)			
silicate	Silicate. Chemical compound containing silicon, oxygen, and one or more metals, e.g., aluminum, barium, beryllium, calcium, iron, magnesium, manganese, potassium, sodium, or zirconium.			
silicic_acid	Hydrated silica disolved in water			
silicic_acid_flux	Silicate acid (H4SiO4) flux			
silicon	Silicon (Si)			
silicon_dissolved	Dissolved Silicon (Si)			
silicon_total	Total silicon (Si)			
silt	USDA particle size distribution category. 0.002 to 0.5 mm diameter fine earth particles.			
silver	A chemical element with symbol Ag (from the Latin argentum, derived from the Proto-Indo-European h₂erǵ: "shiny" or "white") and atomic number 47. A soft, white, lustrous transition metal, it exhibits the highest electrical conductivity, thermal conductivity, and reflectivity of any metal. The metal is found in the Earth's crust in the pure, free elemental form ("native silver"), as an alloy with gold and other metals, and in minerals such as argentite and chlorargyrite. Most silver is produced as a byproduct of copper, gold, lead, and zinc refining.			
silver_dissolved	Dissolved silver (Ag). For chemical terms, dissolved indicates a filtered sample.			
silver_total	Total Silver (Ag). For chemical terms, total represents an unfiltered sample.			
slope	Ratio between two variables in a linear relationship.			
snow_depth	Snow depth			
snow_layer_hardness	Snow layers within the snowpack are a record of the winter’s weather. Like tree rings or strata of rock, layers can be traced to dates and conditions that formed them. One of the most important characteristics of a layer is its hardness. Harder snow is stronger and cohesive, while softer snow is weaker. 			
snow_water_equivalent	The depth of water if a snow cover is completely melted, expressed in units of depth, on a corresponding horizontal surface area.			
sodium	A chemical element with symbol Na (from Latin natrium) and atomic number 11. It is a soft, silvery-white, highly reactive metal. Sodium is an alkali metal, being in group 1 of the periodic table, because it has a single electron in its outer shell that it readily donates, creating a positively charged ion—the Na+ cation. Its only stable isotope is 23Na. The free metal does not occur in nature, but must be prepared from compounds. Sodium is the sixth most abundant element in the Earth's crust and exists in numerous minerals such as feldspars, sodalite, and rock salt (NaCl). Many salts of sodium are highly water-soluble: sodium ions have been leached by the action of water from the Earth's minerals over eons, and thus sodium and chlorine are the most common dissolved elements by weight in the oceans. 			
sodium_adsorption_ratio	Sodium adsorption ratio			
sodium_plus_potassium	Sodium plus potassium			
sodium_dissolved	Dissolved Sodium (Na)			
sodium_fraction_of_cations	Sodium, fraction of cations			
sodium_total	Total Sodium (Na)			
soil_aggregate_stability	Soil aggregate stability is a measure of the ability of soil aggregates to resist degradation when exposed to external forces such as water erosion and wind erosion, shrinking and swelling processes, and tillage. Soil aggregate stability is a measure of soil structure and can be impacted by soil management.			
soil_classification	For soil resources, experience has shown that a natural system approach to classification, i.e. grouping soils by their intrinsic property (soil morphology), behaviour, or genesis, results in classes that can be interpreted for many diverse uses. Differing concepts of pedogenesis, and differences in the significance of morphological features to various land uses can affect the classification approach.			
soil_coarse_fraction	Fraction of particles within a soil sample that are greater that 2mm in diameter			
soil_horizon	A soil horizon is a layer parallel to the soil surface, whose physical characteristics differ from the layers above and beneath. Each soil type usually has three or four horizons.			
soil_organic_matter_(som)	Soil organic matter (SOM) is the organic matter component of soil, consisting of plant and animal residues at various stages of decomposition, cells and tissues of soil organisms, and substances synthesized by soil organisms.			
soil_organic_matter_(som)_density_fractionation	Density fraction of Soil organic matter (SOM) in soil. Soil organic matter (SOM) is the organic matter component of soil, consisting of plant and animal residues at various stages of decomposition, cells and tissues of soil organisms, and substances synthesized by soil organisms.			
soil_respiration	Soil respiration refers to the production of carbon dioxide when soil organisms respire. This includes respiration of plant roots, the rhizosphere, microbes and fauna.			
soil_texture	Soil texture is a classification instrument used both in the field and laboratory to determine soil classes based on their physical texture. Soil texture can be determined using qualitative methods such as texture by feel, and quantitative methods such as the hydrometer method.			
solids_fixed_dissolved	Fixed Dissolved Solids			
solids_fixed_suspended	Fixed Suspended Solids			
solids_total	Total Solids			
solids_total_dissolved	Total Dissolved Solids			
solids_total_fixed	Total Fixed Solids			
solids_total_suspended	Total Suspended Solids			
solids_total_volatile	Total Volatile Solids			
solids_volatile_dissolved	Volatile Dissolved Solids			
solids_volatile_suspended	Volatile Suspended Solids			
spartina_alterniflora_coverage	Areal coverage of the plant Spartina alterniflora			
spartina_spartinea_coverage	Areal coverage of the plant Spartina spartinea			
specific_conductance	Specific conductance			
speed_of_sound	Speed of sound in the medium sampled			
squalene	Squalene (C30H50)			
streamflow	The volume of water flowing past a fixed point.  Equivalent to discharge			
streptococci_fecal	Fecal Streptococci			
strontium	Strontium is the chemical element with symbol Sr and atomic number 38. An alkaline earth metal, strontium is a soft silver-white yellowish metallic element that is highly chemically reactive. The metal forms a dark oxide layer when it is exposed to air. Strontium has physical and chemical properties similar to those of its two vertical neighbors in the periodic table, calcium and barium. It occurs naturally mainly in the minerals celestine and strontianite, and is mostly mined from these. While natural strontium is stable, the synthetic 90Sr isotope is radioactive and is one of the most dangerous components of nuclear fallout, as strontium is absorbed by the body in a similar manner to calcium. Natural stable strontium, on the other hand, is not hazardous to health.			
strontium_dissolved	Dissolved Strontium (Sr)			
strontium_total	Total Strontium (Sr)			
styrene	Styrene (C8H8)			
suaeda_linearis_coverage	Areal coverage of the plant Suaeda linearis			
suaeda_maritima_coverage	Areal coverage of the plant Suaeda maritima			
sulfate	The sulfate or sulphate (see spelling differences) ion is a polyatomic anion with the empirical formula SO2-  4. Sulfate is the spelling recommended by IUPAC, but sulphate is used in British English. Salts, acid derivatives, and peroxides of sulfate are widely used in industry. Sulfates occur widely in everyday life. Sulfates are salts of sulfuric acid and many are prepared from that acid.			
sulfate_dissolved	Dissolved Sulfate (SO4)			
sulfate_total	Total Sulfate (SO4)			
sulfide_dissolved	Dissolved Sulfide			
sulfide_total	Total sulfide			
sulfur	Sulfur (S)			
sulfur_dioxide	Sulfur dioxide (SO2)			
sulfur_dissolved	Dissolved Sulfur (S)			
sulfur_organic	Organic Sulfur			
sulfur_pyritic	Pyritic Sulfur			
sunshine_duration	Sunshine duration			
superoxide_dismutase_activity	Superoxide dismutase (SOD) activity			
superoxide_dismutase_delta_cycle_threshold	Delta cycle threshold for superoxide dismutase (sod). Cycle threshold is the PCR cycle number at which the fluorescent signal of the gene being amplified crosses the set threshold. Delta cycle threshold for sod is the difference between the cycle threshold (Ct) of sod gene expression and the cycle threshold (Ct) for the gene expression of the reference gene (e.g., beta-actin).			
suva254	Specific ultraviolet absorbance at 254 nm. Determined by absorbance normalized to DOC concentration.			
suva280	Specific ultraviolet absorbance at 280 nm. Determined by absorbance normalized to dissolved organic carbon (DOC) concentration.			
table_overrun_error_count	A counter which counts the number of datalogger table overrun errors			
tantalum	Tantalum is a rare, hard, blue-gray, lustrous transition metal that is highly corrosion-resistant. It is part of the refractory metals group, which are widely used as minor components in alloys.			
taxa_count	Count of unique taxa. A taxon (plural: taxa) is a group of one (or more) populations of organism(s), which is judged to be a unit.			
tdr_waveform_relative_length	Time domain reflextometry, apparent length divided by probe length. Square root of dielectric			
technetium	Technetium is a chemical element with symbol Tc and atomic number 43. It is the lightest element whose isotopes are all radioactive; none are stable, excluding the fully ionized state of 97Tc.			
temperature	Temperature			
temperature_change	temperature change			
temperature_datalogger	Temperature, raw data from datalogger			
temperature_dew_point	Dew point temperature			
temperature_initial	initial temperature before heating			
temperature_sensor	Temperature, raw data from sensor			
temperature_transducer_signal	Temperature, raw data from sensor			
terbium	Terbium is a chemical element with symbol Tb and atomic number 65. It is a silvery-white, rare earth metal that is malleable, ductile, and soft enough to be cut with a knife.			
terbium_dissolved	Dissolved Terbium (Tb). "Dissolved " indicates a the measurement was made on a filtered sample.			
terbufos	Terbufos (C9H21O2PS3)			
terpineol	Terpineol (C10H18O)			
tert-amyl_methyl_ether	Tert-Amyl Methyl Ether (C6H14O)			
tertiary_butyl_alcohol	Tertiary Butyl Alcohol (C4H10O)			
tetracene	Tetracene (C18H12), a polycyclic aromatic hydrocarbon (PAH), also known as naphthacene or benz[b]anthracene			
tetrachloroethene	Tetrachloroethene (C2Cl4)			
tetraethylene_glycol	Tetraethylene glycol (C8H18O5)			
tetrahydrofuran	Tetrahydrofuran (C4H8O)			
tetramethylnaphthalene	Tetramethylnaphthalene (C10H4(CH3)4), a polycyclic aromatic hydrocarbon (PAH)			
thallium	Thallium is a chemical element with symbol Tl and atomic number 81. It is a gray post-transition metal that is not found free in nature. When isolated, thallium resembles tin, but discolors when exposed to air. Chemists William Crookes and Claude-Auguste Lamy discovered thallium independently in 1861, in residues of sulfuric acid production. Both used the newly developed method of flame spectroscopy, in which thallium produces a notable green spectral line.			
thallium_dissolved	Dissolved thallium (Tl). "dissolved" indicates measurement was made on a filtered sample.			
thallium_distribution_coefficient	Ratio of concentrations of thallium in two phases in equilibrium with each other. Phases must be specified.			
thallium_particulate	Particulate thallium (Tl) in suspension			
thallium_total	Total thallium (Tl). "Total" indicates was measured on a whole water (unfiltered) sample.			
thorium	Thorium is a weakly radioactive metallic chemical element with symbol Th and atomic number 90. Thorium is silvery and tarnishes black when it is exposed to air, forming thorium dioxide; it is moderately hard, malleable, and has a high melting point.			
thorium	Thorium (Th)			
thorium_dissolved	Dissolved thorium. For chemical terms, dissolved indicates a filtered sample.			
thorium-228	An isotope of thorium in the thorium-232 decay series			
thorium-230	An isotope of thorium in the thorium-232 decay series			
thorium-232	A radioactive isotope of thorium which undergoes alpha decay			
threshold	A level above or below which an action is performed.			
